episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
87,3.1999999999999993,20,52760,4,1.0,34,0.34,8.0,1,0,0,0,0,23.0,15.0,25.0,25.0,15,16,17,15,17
88,2.839999999999999,29,52876,4,1.0,43,0.43,7.166666666666667,1,0,0,0,0,21.0,32.0,29.0,31.0,17,24,30,15,30
89,3.7199999999999998,7,52904,4,1.0,15,0.15,5.333333333333333,1,0,0,0,0,6.0,13.0,7.0,13.0,6,1,7,6,8
90,3.039999999999999,24,53000,4,1.0,41,0.41,7.333333333333333,1,0,0,0,0,20.0,19.0,20.0,21.0,7,16,16,24,33
91,2.759999999999999,31,53124,4,1.0,41,0.41,8.833333333333334,1,0,0,0,0,26.0,27.0,32.0,22.0,20,17,24,31,32
92,1.6399999999999986,59,53360,4,1.0,53,0.53,5.5,1,0,0,0,0,46.0,51.0,41.0,56.0,50,20,61,56,49
93,2.799999999999999,30,53480,4,1.0,36,0.36,11.0,1,0,0,0,0,26.0,23.0,25.0,27.0,12,24,21,24,39
94,-1.960000000000004,149,54076,4,1.0,84,0.84,10.333333333333334,1,0,0,0,0,97.0,94.0,118.0,87.0,70,55,129,130,212
95,2.5199999999999987,37,54224,4,1.0,47,0.47,9.333333333333334,1,0,0,0,0,24.0,29.0,16.0,33.0,32,15,22,23,56
96,3.3599999999999994,16,54288,4,1.0,22,0.22,6.0,1,0,0,0,0,18.0,18.0,15.0,21.0,9,7,16,13,19
97,2.3199999999999985,42,54456,4,1.0,44,0.44,5.166666666666667,1,0,0,0,0,22.0,28.0,43.0,34.0,23,14,43,27,61
98,2.879999999999999,28,54568,4,1.0,52,0.52,7.666666666666667,1,0,0,0,0,29.0,19.0,18.0,27.0,11,9,27,22,43
99,2.3599999999999994,41,54732,4,1.0,39,0.39,6.0,1,0,0,0,0,39.0,24.0,28.0,31.0,24,13,36,30,61
100,3.5599999999999996,11,54776,4,1.0,23,0.23,8.833333333333334,1,0,0,0,0,9.0,20.0,11.0,11.0,2,11,10,9,12
101,1.799999999999998,55,54996,4,1.0,61,0.61,6.166666666666667,1,0,0,0,0,41.0,43.0,47.0,55.0,51,25,52,39,53
102,3.6399999999999997,9,55032,4,1.0,18,0.18,3.0,1,0,0,0,0,5.0,15.0,14.0,13.0,3,6,12,6,9
103,3.4399999999999995,14,55088,4,1.0,28,0.28,8.333333333333334,1,0,0,0,0,20.0,16.0,20.0,12.0,4,14,7,11,20
104,2.719999999999999,32,55216,4,1.0,46,0.46,7.333333333333333,1,0,0,0,0,26.0,31.0,31.0,30.0,19,25,29,24,31
105,3.6399999999999997,9,55252,4,1.0,20,0.2,7.666666666666667,1,0,0,0,0,9.0,9.0,13.0,15.0,0,8,4,9,15
106,2.3999999999999986,40,55412,4,1.0,55,0.55,7.666666666666667,1,0,0,0,0,35.0,35.0,20.0,34.0,17,28,28,35,52
107,2.2399999999999984,44,55588,4,1.0,48,0.48,4.333333333333333,1,0,0,0,0,40.0,25.0,34.0,47.0,25,39,46,23,43
108,3.119999999999999,22,55676,4,1.0,35,0.35,7.666666666666667,1,0,0,0,0,30.0,21.0,16.0,19.0,6,27,21,15,19
109,2.3199999999999985,42,55844,4,1.0,52,0.52,6.166666666666667,1,0,0,0,0,29.0,36.0,23.0,35.0,24,16,39,35,54
110,2.719999999999999,32,55972,4,1.0,47,0.47,7.0,1,0,0,0,0,28.0,28.0,29.0,32.0,14,35,31,24,24
111,2.839999999999999,29,56088,4,1.0,41,0.41,6.0,1,0,0,0,0,27.0,26.0,18.0,21.0,4,15,31,18,48
112,2.879999999999999,28,56200,4,1.0,29,0.29,5.0,1,0,0,0,0,13.0,17.0,20.0,22.0,18,7,10,18,59
113,3.4399999999999995,14,56256,4,1.0,28,0.28,6.833333333333333,1,0,0,0,0,13.0,20.0,22.0,20.0,11,10,13,10,12
114,3.1999999999999993,20,56336,4,1.0,28,0.28,5.833333333333333,1,0,0,0,0,22.0,15.0,17.0,24.0,7,19,9,21,24
115,3.1599999999999993,21,56420,4,1.0,32,0.32,10.0,1,0,0,0,0,26.0,18.0,28.0,23.0,11,19,20,19,15
116,-0.16000000000000236,104,56836,4,1.0,49,0.49,7.333333333333333,1,0,0,0,0,52.0,76.0,61.0,47.0,117,35,77,71,116
117,-3.1200000000000045,178,57548,4,1.0,73,0.73,5.166666666666667,1,0,0,0,0,105.0,120.0,110.0,130.0,143,71,157,136,205
118,3.3999999999999995,15,57608,4,1.0,30,0.3,7.666666666666667,1,0,0,0,0,12.0,25.0,24.0,26.0,10,6,24,12,8
119,-1.0800000000000032,127,58116,4,1.0,60,0.6,6.833333333333333,1,0,0,0,0,79.0,78.0,83.0,83.0,119,44,110,98,137
120,3.7199999999999998,7,58144,4,1.0,16,0.16,5.666666666666667,1,0,0,0,0,10.0,7.0,14.0,12.0,9,2,8,4,5
121,3.76,6,58168,4,1.0,10,0.1,3.5,1,0,0,0,0,6.0,4.0,13.0,10.0,6,1,3,6,8
122,3.6399999999999997,9,58204,4,1.0,24,0.24,6.333333333333333,1,0,0,0,0,14.0,14.0,12.0,15.0,4,5,8,12,7
123,3.119999999999999,22,58292,4,1.0,35,0.35,6.166666666666667,1,0,0,0,0,16.0,23.0,23.0,19.0,11,14,23,15,25
124,3.2799999999999994,18,58364,4,1.0,32,0.32,5.666666666666667,1,0,0,0,0,28.0,15.0,21.0,19.0,4,18,8,23,19
125,1.9599999999999986,51,58568,4,1.0,40,0.4,4.666666666666667,1,0,0,0,0,30.0,40.0,21.0,37.0,19,41,47,26,71
126,3.76,6,58592,4,1.0,19,0.19,6.833333333333333,1,0,0,0,0,12.0,10.0,7.0,12.0,2,6,5,7,4
127,3.5599999999999996,11,58636,4,1.0,36,0.36,10.5,1,0,0,0,0,18.0,10.0,15.0,13.0,2,7,8,20,7
128,3.1999999999999993,20,58716,4,1.0,43,0.43,5.166666666666667,1,0,0,0,0,20.0,27.0,17.0,24.0,12,18,14,22,14
129,2.5999999999999988,35,58856,4,1.0,53,0.53,6.833333333333333,1,0,0,0,0,36.0,31.0,27.0,28.0,20,38,38,26,18
130,3.4799999999999995,13,58908,4,1.0,28,0.28,8.166666666666666,1,0,0,0,0,12.0,16.0,14.0,16.0,7,6,8,16,15
131,3.5599999999999996,11,58952,4,1.0,26,0.26,5.833333333333333,1,0,0,0,0,14.0,22.0,10.0,20.0,12,3,10,8,11
132,3.3999999999999995,15,59012,4,1.0,26,0.26,5.666666666666667,1,0,0,0,0,6.0,13.0,16.0,18.0,5,8,22,4,21
133,3.4399999999999995,14,59068,4,1.0,30,0.3,7.166666666666667,1,0,0,0,0,28.0,18.0,14.0,11.0,9,13,10,14,10
134,3.5599999999999996,11,59112,4,1.0,23,0.23,5.666666666666667,1,0,0,0,0,13.0,10.0,12.0,14.0,9,2,8,12,13
135,3.7199999999999998,7,59140,4,1.0,20,0.2,7.0,1,0,0,0,0,10.0,9.0,10.0,11.0,2,6,11,2,7
136,3.5599999999999996,11,59184,4,1.0,30,0.3,6.5,1,0,0,0,0,15.0,15.0,18.0,17.0,8,9,14,5,8
137,3.3599999999999994,16,59248,4,1.0,35,0.35,8.666666666666666,1,0,0,0,0,15.0,15.0,12.0,15.0,9,10,16,12,17
138,3.4799999999999995,13,59300,4,1.0,28,0.28,8.166666666666666,1,0,0,0,0,15.0,10.0,18.0,18.0,2,13,11,11,15
139,3.76,6,59324,4,1.0,15,0.15,6.166666666666667,1,0,0,0,0,8.0,8.0,12.0,6.0,4,2,7,5,6
140,3.5199999999999996,12,59372,4,1.0,25,0.25,7.0,1,0,0,0,0,18.0,15.0,13.0,7.0,8,12,7,11,10
141,3.1999999999999993,20,59452,4,1.0,38,0.38,6.0,1,0,0,0,0,23.0,21.0,14.0,20.0,1,37,11,20,11
142,3.119999999999999,22,59540,4,1.0,36,0.36,8.0,1,0,0,0,0,20.0,15.0,30.0,15.0,10,18,13,23,24
143,3.6399999999999997,9,59576,4,1.0,19,0.19,5.333333333333333,1,0,0,0,0,6.0,12.0,12.0,12.0,5,6,6,7,12
144,3.5999999999999996,10,59616,4,1.0,23,0.23,9.5,1,0,0,0,0,12.0,15.0,15.0,11.0,7,5,6,12,10
145,3.5999999999999996,10,59656,4,1.0,22,0.22,7.166666666666667,1,0,0,0,0,12.0,16.0,12.0,10.0,6,8,6,11,9
146,3.4799999999999995,13,59708,4,1.0,24,0.24,7.333333333333333,1,0,0,0,0,17.0,7.0,12.0,17.0,11,8,12,13,8
147,3.3999999999999995,15,59768,4,1.0,34,0.34,8.5,1,0,0,0,0,21.0,12.0,14.0,16.0,7,9,11,19,14
148,3.6399999999999997,9,59804,4,1.0,22,0.22,6.833333333333333,1,0,0,0,0,15.0,20.0,14.0,7.0,11,5,3,11,6
149,2.759999999999999,31,59928,4,1.0,41,0.41,7.166666666666667,1,0,0,0,0,26.0,18.0,17.0,25.0,11,22,29,22,40
150,3.6399999999999997,9,59964,4,1.0,17,0.17,7.166666666666667,1,0,0,0,0,9.0,9.0,7.0,19.0,4,13,1,7,11
151,3.2399999999999993,19,60040,4,1.0,44,0.44,5.166666666666667,1,0,0,0,0,19.0,20.0,26.0,23.0,3,29,19,11,14
152,3.4799999999999995,13,60092,4,1.0,30,0.3,6.666666666666667,1,0,0,0,0,8.0,19.0,21.0,17.0,9,16,6,11,10
153,2.4799999999999986,38,60244,4,1.0,53,0.53,6.333333333333333,1,0,0,0,0,39.0,28.0,20.0,33.0,27,32,35,26,32
154,3.5199999999999996,12,60292,4,1.0,33,0.33,5.5,1,0,0,0,0,20.0,16.0,14.0,15.0,1,16,10,10,11
155,3.6799999999999997,8,60324,4,1.0,17,0.17,6.5,1,0,0,0,0,10.0,7.0,11.0,8.0,5,3,6,5,13
156,3.5199999999999996,12,60372,4,1.0,24,0.24,9.833333333333334,1,0,0,0,0,17.0,14.0,14.0,15.0,4,10,10,17,7
157,3.4799999999999995,13,60424,4,1.0,31,0.31,7.166666666666667,1,0,0,0,0,17.0,19.0,18.0,20.0,13,13,9,9,8
158,3.8,5,60444,4,1.0,12,0.12,6.166666666666667,1,0,0,0,0,6.0,7.0,5.0,16.0,5,4,2,3,6
159,0.7599999999999978,81,60768,4,1.0,50,0.5,6.0,1,0,0,0,0,54.0,47.0,60.0,50.0,53,85,59,49,78
160,3.5199999999999996,12,60816,4,1.0,31,0.31,9.0,1,0,0,0,0,9.0,13.0,13.0,19.0,4,15,9,9,11
161,0.2799999999999978,93,61188,4,1.0,75,0.75,6.333333333333333,1,0,0,0,0,86.0,80.0,79.0,41.0,46,72,98,71,85
162,3.2399999999999993,19,61264,4,1.0,44,0.44,7.166666666666667,1,0,0,0,0,20.0,15.0,20.0,28.0,9,19,8,27,13
163,3.1999999999999993,20,61344,4,1.0,35,0.35,7.833333333333333,1,0,0,0,0,25.0,18.0,24.0,19.0,14,11,13,25,17
164,0.519999999999998,87,61692,4,1.0,61,0.61,5.0,1,0,0,0,0,72.0,76.0,67.0,44.0,78,88,66,54,62
165,3.5199999999999996,12,61740,4,1.0,21,0.21,6.666666666666667,1,0,0,0,0,14.0,17.0,13.0,16.0,8,4,15,13,8
166,3.1599999999999993,21,61824,4,1.0,28,0.28,7.166666666666667,1,0,0,0,0,26.0,23.0,20.0,20.0,16,18,16,14,20
167,2.839999999999999,29,61940,4,1.0,42,0.42,7.666666666666667,1,0,0,0,0,36.0,33.0,30.0,26.0,34,32,18,20,12
168,1.9999999999999982,50,62140,4,1.0,60,0.6,8.0,1,0,0,0,0,31.0,44.0,52.0,41.0,45,34,44,53,24
169,3.5199999999999996,12,62188,4,1.0,21,0.21,8.5,1,0,0,0,0,18.0,19.0,15.0,15.0,17,1,8,11,11
170,2.4399999999999995,39,62344,4,1.0,53,0.53,10.666666666666666,1,0,0,0,0,36.0,40.0,36.0,25.0,41,43,28,20,24
171,3.3199999999999994,17,62412,4,1.0,34,0.34,10.833333333333334,1,0,0,0,0,22.0,25.0,20.0,28.0,13,15,15,16,9
172,3.5999999999999996,10,62452,4,1.0,22,0.22,4.166666666666667,1,0,0,0,0,11.0,14.0,19.0,14.0,7,7,7,14,5
