episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
78,-1.0400000000000036,126,32352,4,1.0,64,0.64,0.5,1,0,0,0,0,69.0,69.0,57.0,63.0,68,57,52,70,257
79,2.7199999999999998,32,32480,4,1.0,42,0.42,2.6666666666666665,1,0,0,0,0,24.0,24.0,25.0,24.0,11,29,12,23,53
80,2.4399999999999995,39,32636,4,1.0,47,0.47,5.666666666666667,1,0,0,0,0,33.0,32.0,36.0,33.0,24,26,26,26,54
81,1.7599999999999998,56,32860,4,1.0,47,0.47,5.333333333333333,1,0,0,0,0,24.0,32.0,37.0,49.0,26,45,36,26,91
82,2.399999999999999,40,33020,4,1.0,47,0.47,1.1666666666666667,1,0,0,0,0,33.0,29.0,32.0,21.0,10,34,27,34,55
83,1.5199999999999991,62,33268,4,1.0,60,0.6,5.5,1,0,0,0,0,38.0,35.0,47.0,42.0,32,44,42,37,93
84,3.3199999999999994,17,33336,4,1.0,42,0.42,1.6666666666666667,1,0,0,0,0,18.0,15.0,18.0,16.0,16,6,25,1,20
85,2.1599999999999993,46,33520,4,1.0,43,0.43,6.166666666666667,1,0,0,0,0,46.0,44.0,20.0,21.0,25,19,35,25,80
86,1.919999999999999,52,33728,4,1.0,52,0.52,5.833333333333333,1,0,0,0,0,51.0,40.0,21.0,48.0,30,43,34,36,65
87,1.1199999999999992,72,34016,4,1.0,52,0.52,1.6666666666666667,1,0,0,0,0,44.0,43.0,47.0,45.0,30,39,41,62,116
88,1.9199999999999993,52,34224,4,1.0,48,0.48,2.6666666666666665,1,0,0,0,0,33.0,37.0,43.0,33.0,36,15,44,46,67
89,2.1599999999999984,46,34408,4,1.0,47,0.47,1.5,1,0,0,0,0,41.0,42.0,30.0,50.0,34,15,49,34,52
90,2.679999999999999,33,34540,4,1.0,52,0.52,1.6666666666666667,1,0,0,0,0,31.0,35.0,27.0,28.0,29,20,15,38,30
91,2.7199999999999998,32,34668,4,1.0,45,0.45,1.6666666666666667,1,0,0,0,0,37.0,28.0,39.0,26.0,21,26,12,33,36
92,1.959999999999999,51,34872,4,1.0,48,0.48,2.1666666666666665,1,0,0,0,0,43.0,45.0,29.0,38.0,39,23,31,43,68
93,2.7599999999999993,31,34996,4,1.0,62,0.62,2.0,1,0,0,0,0,26.0,30.0,26.0,33.0,5,26,20,45,28
94,3.32,17,35064,4,1.0,28,0.28,7.0,1,0,0,0,0,9.0,14.0,22.0,19.0,12,9,16,9,22
95,2.1199999999999988,47,35252,4,1.0,56,0.56,3.5,1,0,0,0,0,39.0,31.0,37.0,34.0,30,43,22,33,60
96,2.8399999999999994,29,35368,4,1.0,36,0.36,1.6666666666666667,1,0,0,0,0,24.0,25.0,28.0,28.0,20,13,17,37,29
97,2.679999999999999,33,35500,4,1.0,41,0.41,1.1666666666666667,1,0,0,0,0,45.0,25.0,35.0,26.0,31,11,39,22,29
98,2.84,29,35616,4,1.0,44,0.44,3.5,1,0,0,0,0,34.0,23.0,19.0,30.0,26,13,30,15,32
99,3.3199999999999994,17,35684,4,1.0,21,0.21,1.6666666666666667,1,0,0,0,0,25.0,12.0,15.0,15.0,10,11,12,6,29
100,2.5999999999999988,35,35824,4,1.0,31,0.31,5.666666666666667,1,0,0,0,0,27.0,24.0,29.0,18.0,10,26,28,19,57
101,2.7199999999999993,32,35952,4,1.0,43,0.43,2.6666666666666665,1,0,0,0,0,23.0,25.0,26.0,30.0,35,15,17,22,39
102,2.9599999999999995,26,36056,4,1.0,33,0.33,3.0,1,0,0,0,0,18.0,16.0,25.0,21.0,11,22,19,9,43
103,-0.040000000000000924,101,36460,4,1.0,58,0.58,1.6666666666666667,1,0,0,0,0,57.0,69.0,61.0,59.0,52,62,49,63,178
104,2.3199999999999994,42,36628,4,1.0,51,0.51,1.5,1,0,0,0,0,30.0,35.0,29.0,13.0,14,36,7,40,71
105,3.039999999999999,24,36724,4,1.0,36,0.36,2.6666666666666665,1,0,0,0,0,24.0,19.0,29.0,25.0,21,15,6,23,31
106,2.2399999999999984,44,36900,4,1.0,46,0.46,1.6666666666666667,1,0,0,0,0,35.0,28.0,35.0,34.0,18,47,17,28,66
107,2.1999999999999993,45,37080,4,1.0,43,0.43,1.5,1,0,0,0,0,32.0,34.0,36.0,37.0,27,22,37,40,54
108,1.9999999999999987,50,37280,4,1.0,65,0.65,2.6666666666666665,1,0,0,0,0,32.0,33.0,39.0,35.0,23,33,44,27,73
109,2.2799999999999994,43,37452,4,1.0,48,0.48,1.1666666666666667,1,0,0,0,0,30.0,31.0,33.0,33.0,34,17,28,31,62
110,2.5599999999999996,36,37596,4,1.0,48,0.48,2.1666666666666665,1,0,0,0,0,32.0,29.0,25.0,20.0,21,28,25,14,56
111,3.2399999999999993,19,37672,4,1.0,30,0.3,2.6666666666666665,1,0,0,0,0,17.0,15.0,16.0,21.0,23,12,20,4,17
112,3.039999999999999,24,37768,4,1.0,26,0.26,5.333333333333333,1,0,0,0,0,21.0,22.0,20.0,19.0,16,15,12,20,33
113,1.9999999999999982,50,37968,4,1.0,44,0.44,1.0,1,0,0,0,0,28.0,39.0,30.0,41.0,40,25,38,23,74
114,2.959999999999999,26,38072,4,1.0,39,0.39,2.1666666666666665,1,0,0,0,0,19.0,24.0,21.0,21.0,17,31,7,20,29
115,3.039999999999999,24,38168,4,1.0,24,0.24,0.5,1,0,0,0,0,27.0,21.0,24.0,22.0,9,30,15,10,32
116,0.5999999999999995,85,38508,4,1.0,61,0.61,0.0,1,0,0,0,0,55.0,65.0,57.0,48.0,54,56,51,72,107
117,2.679999999999999,33,38640,4,1.0,42,0.42,1.0,1,0,0,0,0,30.0,27.0,30.0,25.0,37,18,15,24,38
118,3.1999999999999993,20,38720,4,1.0,35,0.35,2.1666666666666665,1,0,0,0,0,19.0,24.0,26.0,20.0,21,8,17,13,21
119,2.8,30,38840,4,1.0,36,0.36,4.833333333333333,1,0,0,0,0,25.0,28.0,18.0,25.0,28,13,18,20,41
120,3.3599999999999994,16,38904,4,1.0,23,0.23,2.8333333333333335,1,0,0,0,0,11.0,13.0,6.0,14.0,18,4,11,7,24
121,3.3599999999999994,16,38968,4,1.0,20,0.2,2.0,1,0,0,0,0,14.0,12.0,14.0,15.0,6,6,6,19,27
122,2.9999999999999996,25,39068,4,1.0,28,0.28,4.5,1,0,0,0,0,12.0,19.0,24.0,26.0,8,13,11,19,49
123,3.1999999999999997,20,39148,4,1.0,32,0.32,1.5,1,0,0,0,0,15.0,18.0,19.0,18.0,20,6,20,10,24
124,3.079999999999999,23,39240,4,1.0,38,0.38,1.1666666666666667,1,0,0,0,0,17.0,23.0,18.0,20.0,6,35,6,19,26
125,3.1599999999999993,21,39324,4,1.0,32,0.32,2.6666666666666665,1,0,0,0,0,18.0,20.0,18.0,17.0,24,6,24,3,27
126,3.119999999999999,22,39412,4,1.0,29,0.29,5.333333333333333,1,0,0,0,0,21.0,13.0,19.0,13.0,7,16,17,8,40
127,2.839999999999999,29,39528,4,1.0,34,0.34,10.5,1,0,0,0,0,13.0,23.0,18.0,21.0,16,15,16,21,48
128,2.5599999999999996,36,39672,4,1.0,47,0.47,2.0,1,0,0,0,0,24.0,31.0,21.0,35.0,15,35,12,28,54
129,2.4399999999999995,39,39828,4,1.0,41,0.41,3.6666666666666665,1,0,0,0,0,15.0,34.0,35.0,24.0,18,23,24,15,76
130,2.7999999999999994,30,39948,4,1.0,43,0.43,1.1666666666666667,1,0,0,0,0,29.0,23.0,24.0,29.0,32,10,12,32,34
131,2.839999999999999,29,40064,4,1.0,34,0.34,1.1666666666666667,1,0,0,0,0,14.0,32.0,25.0,25.0,19,14,14,13,56
132,2.759999999999999,31,40188,4,1.0,32,0.32,3.3333333333333335,1,0,0,0,0,17.0,27.0,20.0,17.0,24,17,25,5,53
133,2.919999999999999,27,40296,4,1.0,45,0.45,1.8333333333333333,1,0,0,0,0,23.0,20.0,29.0,25.0,16,38,5,17,32
134,2.96,26,40400,4,1.0,37,0.37,2.5,1,0,0,0,0,20.0,22.0,25.0,13.0,16,10,10,19,49
135,2.4799999999999995,38,40552,4,1.0,33,0.33,7.166666666666667,1,0,0,0,0,23.0,23.0,18.0,20.0,12,16,31,13,80
136,2.3999999999999995,40,40712,4,1.0,51,0.51,1.5,1,0,0,0,0,37.0,36.0,38.0,25.0,15,31,22,24,68
137,2.559999999999999,36,40856,4,1.0,34,0.34,2.8333333333333335,1,0,0,0,0,25.0,21.0,18.0,18.0,9,26,27,5,77
138,2.5999999999999996,35,40996,4,1.0,48,0.48,0.0,1,0,0,0,0,31.0,30.0,34.0,38.0,7,38,19,33,43
139,2.719999999999999,32,41124,4,1.0,28,0.28,4.333333333333333,1,0,0,0,0,10.0,33.0,27.0,24.0,13,8,27,21,59
140,2.5999999999999996,35,41264,4,1.0,40,0.4,1.0,1,0,0,0,0,26.0,25.0,21.0,16.0,16,34,8,19,63
